partition_size,¡ý business_context_purity,¡ýinter_call_percentage,¡üstructural_modularity,¡ücohesion,¡ýcoupling*NED,¡ümodular_quality,¡ýinterface_number,¡ýnon_extreme_distribution,¡ýtable_op_length
,,,,,,,,,
3,2.831,0.24,0.078,0.116125814,0.023663043,2.439,4.667,0.622,16
,,,,,,,,,
5,2.444,0.374,0.107,0.144972222,0.00204,3.885,4.6,0.054,86
,,,,,,,,,
7,2.423,0.421,0.161,0.20335277,0.011355685,4.748,3.857,0.27,248
,,,,,,,,,
9,4.66,0.45,0.078,0.110602674,0.0114125,4.051,3.333,0.351,454
,,,,,,,,,
6,3.0895,0.37125,0.106,0.14376337,0.012117807,3.78075,4.11425,0.32425,201
,,,,,,,,,
partition_size,¡ý business_context_purity,¡ýinter_call_percentage,¡üstructural_modularity,¡ücohesion,¡ýcoupling*NED,¡ümodular_quality,¡ýinterface_number,¡ýnon_extreme_distribution,¡ýtable_op_length
3,2.831,0.24,0.078,0.116125814,0.023663043,2.439,4.667,0.622,16
5,2.444,0.374,0.107,0.144972222,0.00204,3.885,4.6,0.054,86
7,2.423,0.421,0.161,0.20335277,0.011355685,4.748,3.857,0.27,248
9,4.66,0.45,0.078,0.110602674,0.0114125,4.051,3.333,0.351,454
6,3.0895,0.37125,0.106,0.14376337,0.012117807,3.78075,4.11425,0.32425,201
