method,↓ business_context_purity,↓inter_call_percentage,↑structural_modularity,↑cohesion,↓coupling*NED,↑modular_quality,↓interface_number,↓NED,↓table_op_length,分区数量
COGCN,4.166875,0.41025,0.06425,0.096579035,0.016108989,3.08925,1.923625,0.635125,612.5,"3, 5, 7, 9, 11, 13, 15, 17"
OURS-COGCN-Spect,4.077875,0.4845,0.08025,0.114884325,0.015706116,3.84525,3.444,0.446,510.75,"3, 5, 7, 9, 11, 13, 15, 17"
,,,,,,,,,,
,,,,,,,,,,
 FOSCI,2.23775,0.36875,0.0675,0.122358974,0.026625007,2.71225,4.22625,0.538,329,3，5，7，9
OURS-FOSCI-Spect,3.0895,0.37125,0.106,0.14376337,0.012117807,3.78075,4.11425,0.32425,201,
,,,,,,,,,,
,,,,,,,,,,
GDCDVF,2.303,0.715,-0.032875,0.030405235,0.028614814,1.25525,4.508625,0.42225,575.75,"3, 5, 7, 9, 11, 13, 15, 17"
GDCDVF+,4.202125,0.4775,0.07325,0.105244204,0.017506055,3.800875,3.20525,0.554125,490.5,
